Name,Category,Latitude,Longitude,Address,Phone,Website,Email,OSM_ID
Upahara Darshini,restaurant,12.9330581,77.584422,N/A,N/A,N/A,N/A,595409635
Nagarjuna Chimney,restaurant,12.9330431,77.5843044,N/A,N/A,N/A,N/A,595409636
La Casa,restaurant,12.9261789,77.5848245,N/A,N/A,N/A,N/A,595409790
The Only Place,restaurant,12.9732444,77.6033899,Museum Road,+91-80-32718989,N/A,N/A,595411386
Temple of The Senses,cafe,12.9751034,77.6028435,"The Museum, Museum Road, Shanthala Nagar",N/A,N/A,N/A,595411387
Sathya's,pub,12.925064,77.6328706,N/A,N/A,N/A,N/A,595411389
Durga Restaurant,restaurant,13.0489683,77.5440769,N/A,N/A,N/A,N/A,595688342
Indian Coffee House,restaurant,12.9745397,77.6052505,"Brigade Gardens, Church Street",N/A,N/A,N/A,596453631
Udupi Sri Krishnarajathadri,restaurant,13.0041002,77.5713906,"Sampige Road, Malleshwaram",N/A,N/A,N/A,598500940
Nandini Palace,restaurant,13.0330093,77.5691944,N/A,N/A,N/A,N/A,598948016
Beijing Bites,restaurant,13.0330896,77.569359,N/A,N/A,N/A,N/A,598948019
Onesta,restaurant,13.0292372,77.5708378,New BEL Road,N/A,N/A,N/A,598969461
Chung's,restaurant,13.00654,77.5692833,N/A,N/A,N/A,N/A,598988679
Sher-e-Punjab Dhaba,restaurant,13.0218399,77.5349348,N/A,N/A,N/A,N/A,608958463
Adarsh Dhaba,restaurant,13.0220281,77.5340657,N/A,N/A,N/A,N/A,610336681
Shanthi Sagar,cafe,13.0369119,77.5659032,"New BEL Road, Bangalore, 560054",N/A,N/A,N/A,621235471
RMV Club,bar,13.038095,77.569086,N/A,N/A,N/A,N/A,621241029
RMV Club,restaurant,13.0380165,77.5693434,N/A,N/A,N/A,N/A,621241147
Hunan Chinese Restaurant,restaurant,13.0342347,77.5693249,"1st Main Road, New BEL Road, Chikkamaranahalli, Bangalore",+91-80-23413337,N/A,N/A,622720273
Kabini Canteen,restaurant,13.0162478,77.5648911,N/A,N/A,N/A,N/A,625145275
Chicken County,restaurant,13.0372579,77.566121,N/A,N/A,N/A,N/A,627936451
Thirteenth Floor,bar,12.9752596,77.6048953,Mahatma Gandhi Road,N/A,N/A,N/A,638167114
Shiro,restaurant,12.971852,77.5964092,"Comet, Vittal Mallaya Road, Bangalore, 560001",N/A,N/A,N/A,638168606
Sandhya Sagar,restaurant,12.9600242,77.6015444,N/A,N/A,N/A,N/A,644420166
Utsav,restaurant,12.9601639,77.5945806,Shanti Road,N/A,N/A,N/A,646739373
Rasa,restaurant,12.994359,77.5711764,Sampige Road,N/A,N/A,N/A,650621057
Freska,restaurant,13.0275961,77.5766293,N/A,N/A,N/A,N/A,660061429
Unnamed Spot,restaurant,13.0068412,77.5789439,N/A,N/A,N/A,N/A,660345442
Pizza Hut,restaurant,13.0279832,77.5715545,New BEL Road,N/A,N/A,N/A,660345491
The Founders Brewery,pub,13.027204,77.57712,N/A,N/A,N/A,N/A,660345492
Miller's 46,restaurant,12.991491,77.5941489,Millers Road,N/A,N/A,N/A,660666066
Mint Masala,restaurant,13.0069868,77.5788699,Jeevaraj Alva Road,N/A,N/A,N/A,661059074
Juice Junction,cafe,12.9720317,77.6009309,Saint Mark's Road,N/A,N/A,N/A,661983020
Bowring Stall,cafe,12.9751155,77.6014152,Saint Mark's Road,N/A,N/A,N/A,661983038
Shezan Restaurant,restaurant,12.9871688,77.5946714,"Shah Sultan Complex, Cunningham Road, Bengaluru",N/A,N/A,N/A,661983050
Ramana's,restaurant,12.9887039,77.5939333,Cunningham Road,N/A,N/A,N/A,661983062
Nisarga,restaurant,12.9704007,77.5874248,"Nrupathunga Road, Bengaluru, 560001",N/A,N/A,N/A,663317758
Cafe Coffee Day,cafe,12.9717817,77.5942306,"Lavelle Road, Bangalore",N/A,N/A,N/A,663568572
The Capitol,hotel,12.9822391,77.594459,"Raj Bhavan Road, Bangalore, 560001",N/A,N/A,N/A,663683086
Canteen,restaurant,12.9803653,77.5950694,N/A,N/A,N/A,N/A,663941464
Cafe Coffee Day,cafe,13.0076197,77.5793977,N/A,N/A,N/A,N/A,664332018
Parkview Hotel,restaurant,12.9758502,77.5891031,N/A,N/A,N/A,N/A,665045222
Chatpat,restaurant,12.9671651,77.580199,N/A,N/A,N/A,N/A,665871268
Cane Crush,cafe,12.9697027,77.5796625,N/A,N/A,N/A,N/A,665871269
Sri Vinayaka Juice & Chats Center,cafe,12.9742892,77.5778952,Kempe Gowda Road,N/A,N/A,N/A,665871272
Hotel Madhuvan,restaurant,12.9703805,77.5800395,N/A,N/A,N/A,N/A,665871273
Hotel Empire,restaurant,12.9798386,77.6027906,N/A,N/A,N/A,N/A,665871279
Sanman Veg,restaurant,12.9847344,77.5971261,Cunningham Road,N/A,N/A,N/A,665871282
Sweet Chariot,cafe,12.9857313,77.595832,Cunningham Road,N/A,N/A,N/A,665871289
Cafe Coffee Day,cafe,12.9356995,77.6145787,80 Feet Road,N/A,N/A,N/A,668990999
Sana Di Ge,restaurant,12.9853914,77.5795059,N/A,N/A,N/A,N/A,673377213
Pure & Natural,cafe,13.0075715,77.5793658,13th Cross Sadashivanagar,N/A,N/A,N/A,673377221
New Shanthi Sagar,restaurant,13.0068783,77.5790907,N/A,N/A,N/A,N/A,673860152
Nikki's Pub & Restaurant,restaurant,13.0144093,77.5736842,N/A,N/A,N/A,N/A,673860156
Coffee Day,cafe,12.9736525,77.5801953,Kempe Gowda Road,N/A,N/A,N/A,677286826
Amruth Vegetarian Restaurant,restaurant,12.9711937,77.6007788,"Saint Mark's Road, Bangalore",N/A,N/A,N/A,677286843
Hotel Vinitha,restaurant,12.982738,77.6030551,N/A,N/A,N/A,N/A,677288910
Hare Krishna Pure Veg Restaurant,restaurant,12.9772698,77.570304,Gubbi Thotadappa Road,N/A,N/A,N/A,680020366
Balaji Restaurant,restaurant,12.9772479,77.5704213,N/A,N/A,N/A,N/A,680020369
Fresh Cane,cafe,12.9734503,77.5751186,Balepet Road,N/A,N/A,N/A,683352694
Pizza Hut,restaurant,12.9310045,77.5830947,N/A,N/A,N/A,N/A,691164727
Unnamed Spot,bar,13.0368708,77.5233568,N/A,N/A,N/A,N/A,701733264
Domlur Club,bar,12.9643756,77.6371873,4th Main Road,N/A,N/A,N/A,710095029
Barbeque Nation,restaurant,12.9626436,77.6413855,100 Feet Road( S K Karim Khan Road),N/A,N/A,N/A,736014185
A Masala House,restaurant,12.9893411,77.5929583,N/A,N/A,N/A,N/A,762086048
Pizza Hut,restaurant,12.9590966,77.6544331,N/A,N/A,N/A,N/A,844423869
Kabab Manor,restaurant,13.0273116,77.5935719,N/A,N/A,N/A,N/A,850751675
Ebony,restaurant,12.9753625,77.6051643,Mahatma Gandhi Road,+91 8025136611; +91 8041783344,N/A,N/A,861183324
Little Imperial,restaurant,13.0228247,77.6477855,N/A,N/A,N/A,N/A,905784975
Cafe Coffee Day,cafe,12.924585,77.6743627,Outer Ring Road,N/A,N/A,N/A,929965952
Hyderabad Biryani House,restaurant,12.959041,77.6564566,HAL Airport Road,N/A,N/A,N/A,940515833
Cafe Coffee Day,cafe,12.967858,77.6542204,N/A,N/A,N/A,N/A,940536431
Empire,restaurant,12.9699613,77.6473796,80 Feet Road(Sir C.V. Raman Hospital Road),N/A,N/A,N/A,945711483
Sri Ganesh Food Point,restaurant,12.9149626,77.6149914,"29th Main, BTM Layout, Bangalore",N/A,N/A,N/A,949313549
Beijing Bites,restaurant,12.913127,77.6101684,N/A,N/A,N/A,N/A,951203512
Punjabi Swag,restaurant,12.9136689,77.6099505,N/A,N/A,N/A,N/A,951203524
Udupi Upahar,restaurant,12.9387161,77.5534116,80 Feet Road,N/A,N/A,N/A,951470704
Anna Kuteera,restaurant,12.9261046,77.5502503,N/A,N/A,N/A,N/A,953663359
Shanthi Sagar,restaurant,12.9237141,77.5534616,Outer Ring Road,N/A,N/A,N/A,953675751
Ganesh Bhavan,restaurant,12.9437007,77.5649097,N/A,N/A,N/A,N/A,954620605
Schezwan,restaurant,13.1028474,77.5770272,N/A,N/A,N/A,N/A,959249211
The Coffee Brewery,cafe,12.9622669,77.7014635,"Outer Ring Road, Doddanekundi, Marathahalli",N/A,N/A,N/A,983942385
Eden Dhaba,restaurant,12.931753,77.68645,"Devara Bisnhalli, Bellandur, 560037",+91-80-65957659;+91-9342571046,N/A,N/A,983942391
Unnamed Spot,restaurant,12.9497553,77.6998051,"Outer Ring Road, Marathahalli, Bangalore, 560037",N/A,N/A,N/A,984208326
Cafe Coffee Day,cafe,12.9858451,77.6686567,Kaggadasspura Main Road,N/A,N/A,N/A,985256304
Ruchi Restaurant,restaurant,12.973597,77.678189,Kaggadasspura Main Road,N/A,N/A,N/A,986744079
Chillys,restaurant,12.9916553,77.7207261,"1st Floor, ITPL Main Road, 560048",+91 80 41487799;+91 80 41725222,N/A,N/A,988724833
Bhagini Restaurant,restaurant,12.989294,77.7125997,"Hoodi Main Road, Whitefield, Bangalore",+91-80-28540327,N/A,N/A,996176391
Pizza Hut,restaurant,12.9972009,77.540616,"Basaveshwara Nagar, Bangalore",N/A,N/A,N/A,997417046
The Infantry Hotel,hotel,12.980445,77.604525,"Infantry Road, Bangalore, 560001",+918025591800,http://www.hotelinfantrycourt.com,enquiry@theinfantryhotel.com,1005525039
Hotel Maurya,hotel,12.980921,77.576491,"Race Course Road, Gandhi Nagar, Bangalore, 560009",+91-80-22254111,https://www.hotelmaurya.com/,reservations@hotelmaurya.com,1006462322
Hotel Swathi,hotel,12.989096,77.572253,"Railway Platform Road, Seshadripuram, Bangalore, 560020",+91-80-23561123,N/A,N/A,1006492448
ArmaDQ,restaurant,12.9773708,77.6954828,"Sri Kote Ashirwad Towers, Outer Ring Road, Doddanekundi, Marathahalli, 560037",N/A,N/A,N/A,1024506179
BLR37 Bar & Kitchen,restaurant,12.9805079,77.6937246,"Outer Ring Road, Doddanekundi, Marathahalli, 560037",N/A,N/A,N/A,1024506184
Bhagini Bar,bar,12.989268,77.7125459,N/A,N/A,N/A,N/A,1024630290
Nalapad's Hotel Bangalore International,hotel,12.9850452,77.579248,"Crescent Road, High Ground, Bangalore, 560001",N/A,http://www.nalapad.com,reservation@nalapadhotels.net,1026441566
Ankur Family Restaurant,restaurant,12.9890678,77.7116566,Hoodi Main Road,N/A,N/A,N/A,1032697374
Sudha Lodge,hotel,12.9727609,77.5701982,"Cottonpet Main Road, Chickpet, Bangalore, 560053",+91-80-26705420,N/A,N/A,1044323510
Radha Krishna Delux Lodge,hotel,12.9717886,77.5705791,Cottonpete Main Road,N/A,N/A,N/A,1044325327
Spice Garden,restaurant,12.9570571,77.7091042,"HAL Airport Road (near Marathahalli Bridge), Marathhalli, 560037",+91-80-28476688;+91-80-65636522;+91-80-41705020,N/A,N/A,1047248383
Infusion Restaurant,restaurant,12.9656267,77.7018348,"MR Kote Plaza, Outer Ring Road, Doddanekundi, Bangalore",N/A,N/A,N/A,1058729953
Ullas Refreshment,restaurant,12.9745381,77.6096029,N/A,N/A,N/A,N/A,1065137180
Elements,restaurant,13.0015628,77.5993592,Nandi Durg Road,N/A,N/A,N/A,1067206582
Hungry Panda,restaurant,12.934729,77.6125976,80 Feet Road,N/A,N/A,N/A,1070361755
Reddys,restaurant,12.9855001,77.6732164,Kaggadasspura Main Road,N/A,N/A,N/A,1078161780
Kund,restaurant,12.980115,77.6405511,100 Feet Road,N/A,N/A,N/A,1078369543
Barista,cafe,13.0302354,77.5705086,New BEL Road,N/A,N/A,N/A,1078399227
Hotel Mahaveer,hotel,12.974344,77.5712299,"Tank Bund Road, Bangalore",N/A,N/A,N/A,1080055848
Cafe Coffee Day,cafe,12.9794141,77.7513286,"Whitefield Main Road, Bangalore, 560066",+91-80-41641300,N/A,N/A,1080536956
Chung WAH,restaurant,12.9792064,77.7513027,"Whitefield Main Road, Bangalore, 560066",+91-80-41641300,N/A,N/A,1081506759
Highgates Hotel,restaurant,12.9753754,77.6028942,Church Street,N/A,http://highgateshotel.com,N/A,1085786985
Hotel Ganga Sagar,hotel,12.944337,77.620028,"Bangalore, 560095",+91-80-25704880,N/A,N/A,1087884426
Hotel Zaica,restaurant,12.9673994,77.7146901,"Brookfield Main Road, Bangalore, 560066",+91-80-41162485,N/A,N/A,1091213725
Gangothri Restaurant,restaurant,12.9377655,77.6267552,80 Feet Road,N/A,N/A,N/A,1091310741
Pizza Hut,restaurant,12.9398542,77.6251855,80 Feet Road,N/A,N/A,N/A,1091310756
Matthan,restaurant,12.9594188,77.6486258,N/A,N/A,N/A,N/A,1091414246
MGM Mark,hotel,12.971672,77.7175701,"EPIP Zone, Whitefield, Bangalore, 560066",+91-80-41985555,https://www.mgm-hotels.com/mgm-mark-whitefield-bangalore/,info@themarkboulevard.com,1093355127
Beijing Bites,restaurant,12.9800208,77.7271185,"8th Road, Bangalore, 560066",+91-80-40930388;+91-80-40930488,https://www.beijingbites.com/,N/A,1093355140
The Mark Boulevard,restaurant,12.9716416,77.7176798,"EPIP Zone, Whitefield, Bangalore, 560066",+91-80-41985555,http://www.themarkboulevard.com/,info@themarkboulevard.com,1093355151
Hotel Janardhana,restaurant,12.9856254,77.5788885,Kumara Krupa Road,N/A,N/A,N/A,1101607728
Nature Fresh,cafe,12.9673021,77.5421438,N/A,N/A,N/A,N/A,1107995737
CYCD,hotel,12.967339,77.5427777,N/A,N/A,N/A,N/A,1108016257
Kabab Studio,restaurant,12.9853569,77.5792692,Crescent Road,+91-80-41291300,https://www.goldfinchhotels.com/,N/A,1116484556
Foody's,restaurant,12.9578638,77.5932147,N/A,N/A,N/A,N/A,1121420612
Olive Beach,restaurant,12.966942,77.60796,N/A,N/A,N/A,N/A,1129098580
5 Centrigrade,cafe,12.9598295,77.7475972,Forum Value Mall,N/A,N/A,N/A,1147232581
MTR,restaurant,12.9598156,77.7481385,Forum Value Mall,N/A,N/A,N/A,1147232608
Cream n Desserts,cafe,12.9599141,77.748448,Forum Value Mall,N/A,N/A,N/A,1147232624
Ala Dakshinapuramlo,restaurant,12.9598316,77.7473381,Forum Value Mall,N/A,N/A,N/A,1147232651
Pind Balluchi,restaurant,12.9598229,77.7479363,Forum Value Mall,N/A,N/A,N/A,1147232674
Kalmane Koffee,cafe,12.9597243,77.7484523,Forum Value Mall,N/A,N/A,N/A,1147294849
Toscano's,restaurant,12.9598943,77.7481291,Forum Value Mall,N/A,N/A,N/A,1147294865
Cafe Coffee Day,cafe,12.9261691,77.6803833,"The Bay Food Court, Outer ring road, Bellandur",N/A,N/A,N/A,1156832807
Cafe Coffee Day,cafe,12.9783158,77.7123264,N/A,N/A,N/A,N/A,1160603218
Qmin,cafe,12.9771241,77.7184791,N/A,N/A,N/A,N/A,1163058385
Sri Vishnu Palace,restaurant,12.979486,77.6951134,ORR Doddanakundi,N/A,N/A,N/A,1166727536
Plate 99 Restaurant,restaurant,12.979298,77.6951854,N/A,+91 85508 35554,N/A,N/A,1166727541
Sarovar Portico,bar,12.9788613,77.6946259,ORR  opposite bhagini,N/A,N/A,N/A,1166727551
Pizza Hut,restaurant,12.9570622,77.7087772,N/A,N/A,N/A,N/A,1168221740
Barista,cafe,12.9349444,77.6293498,N/A,N/A,N/A,N/A,1274328868
Rendezvous,bar,12.9355492,77.6287026,N/A,N/A,N/A,N/A,1274328878
Maple's,hotel,12.9353574,77.6293981,N/A,N/A,N/A,N/A,1274328898
Hotel Verdisso Suites,hotel,12.9505253,77.6992384,"Outer Ring Road, Marathahalli, Bangalore",N/A,N/A,N/A,1275552805
Shree Sagar CTR,restaurant,12.9982568,77.5694946,N/A,N/A,N/A,N/A,1289833985
Food Camp,restaurant,13.0009296,77.5723686,N/A,N/A,N/A,N/A,1290203334
Sri Sai Dosa Center,restaurant,13.0010829,77.5721394,N/A,N/A,N/A,N/A,1290203344
Unnamed Spot,restaurant,12.913356,77.651692,N/A,N/A,N/A,N/A,1299901719
Hotel Ramada,hotel,12.984215,77.6005578,N/A,N/A,N/A,N/A,1306429239
Eden Park,restaurant,12.9831559,77.5987115,Cunningham Road,N/A,N/A,N/A,1306431953
Cafe Coffee Day,cafe,12.9344118,77.6109865,"Forum Mall, Hosur Road, Bangalore",N/A,N/A,N/A,1307443105
India Coffee House,cafe,12.9823242,77.594716,Dr B R Ambedkar Veedhi,N/A,N/A,N/A,1307598721
Fortune Park JP Celestial Hotel,hotel,12.980883,77.575992,"Race Course Road, Bangalore, 560009",+91-80-40441234; +91-80-39884433,https://www.fortunehotels.in/,jpcelestial@fortunehotels.in,1314943420
Pizza Hut,restaurant,12.9040043,77.5734008,N/A,N/A,N/A,N/A,1318917183
Shiva Bar,bar,12.8853559,77.5554648,N/A,N/A,N/A,N/A,1318917184
Coffeeday Xpress,cafe,12.9741202,77.653743,N/A,N/A,N/A,N/A,1328593762
Aramane Donne Biryani,restaurant,12.9793175,77.6421491,N/A,N/A,N/A,N/A,1328610588
Mainland China,restaurant,12.9621543,77.6418716,N/A,N/A,N/A,N/A,1328613155
Coast to Coast Sea food restaurant,restaurant,12.9370423,77.6245906,N/A,N/A,N/A,N/A,1328615137
Tamrind Restaurant,restaurant,12.9342471,77.6234716,N/A,N/A,N/A,N/A,1328615138
Kubey Seafood Restaurant,restaurant,12.9370998,77.6245424,N/A,N/A,N/A,N/A,1328615139
Polar Bear,cafe,12.9089347,77.5626077,N/A,N/A,N/A,N/A,1331929309
Udupi Swada,restaurant,12.9075699,77.5640131,N/A,N/A,N/A,N/A,1331929352
NJAC,cafe,12.9089138,77.5625218,N/A,N/A,N/A,N/A,1331929354
Prasiddhi,restaurant,12.9109843,77.5791221,N/A,N/A,N/A,N/A,1331946754
Nandhini Deluxe,restaurant,12.9056456,77.5855728,N/A,N/A,N/A,N/A,1331946776
Incara,restaurant,12.9027732,77.5837541,N/A,N/A,N/A,N/A,1331989779
Beijing Bites,restaurant,12.9690594,77.6479877,80 Feet Road(Sir C.V. Raman Hospital Road),N/A,N/A,N/A,1339408167
U D Residency,restaurant,12.9363255,77.5767626,South End Main Road,N/A,N/A,N/A,1360190627
Third Wave Coffee Roasters,cafe,12.963223,77.7171829,N/A,N/A,N/A,N/A,1363280651
NGMA Cafe,cafe,12.9897809,77.5880062,N/A,N/A,N/A,N/A,1363295015
Bhagini,restaurant,12.9568655,77.7153884,N/A,N/A,N/A,N/A,1365660975
Biryani Zone,restaurant,12.9561352,77.7165979,N/A,N/A,N/A,N/A,1370194017
Wok The Way,cafe,12.9559117,77.7167634,N/A,N/A,N/A,N/A,1370194102
Jade,restaurant,12.9645823,77.7161206,N/A,N/A,N/A,N/A,1370328503
Northeren Wave,restaurant,12.9644938,77.716214,N/A,N/A,N/A,N/A,1370328507
Kayal,restaurant,12.9645788,77.7162279,N/A,N/A,N/A,N/A,1370328510
Kaapi Kadai,cafe,12.9647599,77.7172515,N/A,N/A,N/A,N/A,1371859199
Sweet Chariot,cafe,12.9359939,77.6151031,N/A,N/A,N/A,N/A,1375978217
Terminus,hotel,12.9342871,77.6161496,N/A,N/A,N/A,N/A,1375978230
Latte Tude,cafe,12.9334642,77.6151016,N/A,N/A,N/A,N/A,1375978240
Lucky da dhaba,restaurant,12.9365445,77.6142714,N/A,N/A,N/A,N/A,1375978244
Lazeej,restaurant,12.9338202,77.6193658,N/A,N/A,N/A,N/A,1375978245
Meghna Biryani,restaurant,12.9345967,77.6162526,N/A,N/A,N/A,N/A,1375978253
Zheng,restaurant,12.9336119,77.6152238,N/A,N/A,N/A,N/A,1375978258
Golmal Paratha,restaurant,12.9338304,77.6194655,N/A,N/A,N/A,N/A,1375978262
Costa,cafe,12.9345246,77.6162996,N/A,N/A,N/A,N/A,1375978263
Aalishan,restaurant,12.9365369,77.614409,N/A,N/A,N/A,N/A,1375978264
The Juke Box,pub,12.936364,77.6147769,N/A,N/A,N/A,N/A,1375978265
Ping,restaurant,12.9336331,77.622557,N/A,N/A,N/A,N/A,1375978266
Sixtyfour,pub,12.9366058,77.614973,N/A,N/A,N/A,N/A,1375978270
Daawat,restaurant,12.9359336,77.6146718,N/A,N/A,N/A,N/A,1375978272
Atithya,restaurant,12.9362549,77.6145138,N/A,N/A,N/A,N/A,1375978274
Tunday Kabab,restaurant,12.9338227,77.6193019,N/A,N/A,N/A,N/A,1375978277
Udupi Upahaara,restaurant,12.9358653,77.6149483,N/A,N/A,N/A,N/A,1375978278
Friends,cafe,12.9354363,77.6147873,N/A,N/A,N/A,N/A,1375978279
Purple Haze,pub,12.9332689,77.6147839,N/A,N/A,N/A,N/A,1375978280
Cuppa,cafe,12.9333951,77.6155122,N/A,N/A,N/A,N/A,1375978281
Coorg,restaurant,12.9363343,77.6151183,N/A,N/A,N/A,N/A,1375978282
KC Das,restaurant,12.9337973,77.6189966,N/A,N/A,N/A,N/A,1375978283
Adyar Ananda Bhavan,restaurant,12.9358031,77.6147343,"80 Feet Road, Koramangala, Bangalore, Bangalore, 560065",+91 77950 73031,https://aabsweets.com,N/A,1375978284
Zingron,restaurant,12.9363805,77.6151025,N/A,N/A,N/A,N/A,1375978286
Beijing Bites,restaurant,12.9334311,77.6217925,N/A,N/A,N/A,N/A,1375978287
Blue Petal Business Hotel,hotel,12.9335142,77.6151725,N/A,N/A,N/A,N/A,1375978288
Lazeez Express,restaurant,12.9341001,77.6164042,N/A,N/A,N/A,N/A,1375978289
Ammi's Biryani,restaurant,12.936529,77.6146211,N/A,N/A,N/A,N/A,1375978290
